Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,-0.037000000000000005,-6.65
0.0005,-0.042,-6.664
0.001,-0.042,-6.678999999999999
0.0015,-0.042,-6.689
0.002,-0.042,-6.6979999999999995
0.0025,-0.042,-6.718
0.003,-0.042,-6.723
0.0035,-0.042,-6.737
0.004,-0.042,-6.752000000000001
0.0045,-0.037000000000000005,-6.7620000000000005
0.005,-0.042,-6.767
0.0055,-0.042,-6.791
0.006,-0.042,-6.801
0.0065,-0.042,-6.811
0.007,-0.046,-6.825
0.0075,-0.037000000000000005,-6.835
0.008,-0.037000000000000005,-6.845
0.0085,-0.042,-6.855
0.009,-0.037000000000000005,-6.869
0.0095,-0.037000000000000005,-6.874
0.01,-0.042,-6.8839999999999995
0.0105,-0.037000000000000005,-6.9079999999999995
0.011,-0.032,-6.9079999999999995
0.0115,-0.042,-6.922999999999999
0.012,-0.037000000000000005,-6.938
0.0125,-0.032,-6.943
0.013,-0.037000000000000005,-6.952000000000001
0.0135,-0.042,-6.972
0.014,-0.037000000000000005,-6.977
0.0145,-0.037000000000000005,-6.987
0.015,-0.042,-7.006
0.0155,-0.037000000000000005,-7.011
0.016,-0.042,-7.016
0.0165,-0.042,-7.035
0.017,-0.037000000000000005,-7.045
0.0175,-0.032,-7.05
0.018,-0.037000000000000005,-7.06
0.0185,-0.037000000000000005,-7.079
0.019,-0.032,-7.079
0.0195,-0.037000000000000005,-7.093999999999999
0.02,-0.037000000000000005,-7.104
0.0205,-0.037000000000000005,-7.109
0.021,-0.037000000000000005,-7.117999999999999
0.0215,-0.032,-7.127999999999999
0.022,-0.032,-7.132999999999999
0.0225,-0.037000000000000005,-7.148
0.023,-0.037000000000000005,-7.1579999999999995
0.0235,-0.027000000000000003,-7.167000000000001
0.024,-0.032,-7.167000000000001
0.0245,-0.037000000000000005,-7.187
0.025,-0.037000000000000005,-7.197
0.0255,-0.032,-7.2010000000000005
0.026,-0.037000000000000005,-7.216
0.0265,-0.037000000000000005,-7.226
0.027,-0.032,-7.226
0.0275,-0.037000000000000005,-7.2410000000000005
0.028,-0.032,-7.245
0.0285,-0.032,-7.255
0.029,-0.032,-7.265
0.0295,-0.037000000000000005,-7.28
0.03,-0.027000000000000003,-7.28
0.0305,-0.037000000000000005,-7.284
0.031,-0.037000000000000005,-7.294
0.0315,-0.027000000000000003,-7.303999999999999
0.032,-0.037000000000000005,-7.314
0.0325,-0.032,-7.324
0.033,-0.027000000000000003,-7.327999999999999
0.0335,-0.032,-7.332999999999999
0.034,-0.037000000000000005,-7.353
0.0345,-0.032,-7.348
0.035,-0.032,-7.3629999999999995
0.0355,-0.032,-7.372000000000001
0.036,-0.032,-7.377000000000001
0.0365,-0.027000000000000003,-7.382000000000001
0.037,-0.037000000000000005,-7.397
0.0375,-0.027000000000000003,-7.397
0.038,-0.032,-7.407
0.0385,-0.032,-7.4110000000000005
0.039,-0.032,-7.421
0.0395,-0.027000000000000003,-7.421
0.04,-0.032,-7.431
0.0405,-0.027000000000000003,-7.441
0.041,-0.027000000000000003,-7.441
0.0415,-0.032,-7.4510000000000005
0.042,-0.027000000000000003,-7.465
0.0425,-0.027000000000000003,-7.47
0.043,-0.032,-7.47
0.0435,-0.027000000000000003,-7.485
0.044,-0.027000000000000003,-7.48
0.0445,-0.027000000000000003,-7.485
0.045,-0.037000000000000005,-7.499
0.0455,-0.027000000000000003,-7.504
0.046,-0.032,-7.5089999999999995
0.0465,-0.032,-7.519
0.047,-0.027000000000000003,-7.529
0.0475,-0.027000000000000003,-7.524
0.048,-0.032,-7.534
0.0485,-0.027000000000000003,-7.537999999999999
0.049,-0.027000000000000003,-7.537999999999999
0.0495,-0.032,-7.547999999999999
0.05,-0.022000000000000002,-7.553
0.0505,-0.022000000000000002,-7.558
0.051,-0.027000000000000003,-7.563
0.0515,-0.027000000000000003,-7.5729999999999995
0.052,-0.022000000000000002,-7.5729999999999995
0.0525,-0.027000000000000003,-7.577999999999999
0.053,-0.027000000000000003,-7.5920000000000005
0.0535,-0.022000000000000002,-7.587000000000001
0.054,-0.027000000000000003,-7.5920000000000005
0.0545,-0.022000000000000002,-7.607
0.055,-0.027000000000000003,-7.607
0.0555,-0.022000000000000002,-7.607
0.056,-0.032,-7.617000000000001
0.0565,-0.022000000000000002,-7.617000000000001
0.057,-0.027000000000000003,-7.621
0.0575,-0.027000000000000003,-7.631
0.058,-0.027000000000000003,-7.631
0.0585,-0.027000000000000003,-7.631
0.059,-0.027000000000000003,-7.641
0.0595,-0.027000000000000003,-7.641
0.06,-0.022000000000000002,-7.641
0.0605,-0.027000000000000003,-7.651
0.061,-0.022000000000000002,-7.656000000000001
0.0615,-0.017,-7.656000000000001
0.062,-0.027000000000000003,-7.656000000000001
0.0625,-0.022000000000000002,-7.67
0.063,-0.022000000000000002,-7.665
0.0635,-0.022000000000000002,-7.67
0.064,-0.022000000000000002,-7.675
0.0645,-0.022000000000000002,-7.675
0.065,-0.022000000000000002,-7.68
0.0655,-0.022000000000000002,-7.69
0.066,-0.022000000000000002,-7.685
0.0665,-0.022000000000000002,-7.69
0.067,-0.022000000000000002,-7.695
0.0675,-0.022000000000000002,-7.7
0.068,-0.022000000000000002,-7.7
0.0685,-0.027000000000000003,-7.705
0.069,-0.022000000000000002,-7.705
0.0695,-0.022000000000000002,-7.7
0.07,-0.027000000000000003,-7.709
0.0705,-0.017,-7.709
0.071,-0.022000000000000002,-7.709
0.0715,-0.027000000000000003,-7.7139999999999995
0.072,-0.022000000000000002,-7.718999999999999
0.0725,-0.017,-7.718999999999999
0.073,-0.022000000000000002,-7.718999999999999
0.0735,-0.017,-7.729
0.074,-0.017,-7.729
0.0745,-0.022000000000000002,-7.729
0.075,-0.017,-7.734
0.0755,-0.017,-7.734
0.076,-0.022000000000000002,-7.734
0.0765,-0.017,-7.744
0.077,-0.017,-7.739
0.0775,-0.017,-7.744
0.078,-0.022000000000000002,-7.747999999999999
0.0785,-0.017,-7.747999999999999
0.079,-0.022000000000000002,-7.739
0.0795,-0.017,-7.747999999999999
0.08,-0.017,-7.747999999999999
0.0805,-0.017,-7.744
0.081,-0.022000000000000002,-7.747999999999999
0.0815,-0.012,-7.744
0.082,-0.017,-7.739
0.0825,-0.017,-7.744
0.083,-0.006999999999999999,-7.744
0.0835,-0.006999999999999999,-7.739
0.084,-0.012,-7.739
0.0845,-0.012,-7.744
0.085,-0.006999999999999999,-7.739
0.0855,-0.017,-7.734
0.086,-0.012,-7.739
0.0865,-0.012,-7.729
0.087,-0.012,-7.734
0.0875,-0.012,-7.729
0.088,-0.006999999999999999,-7.724
0.0885,-0.012,-7.718999999999999
0.089,-0.017,-7.724
0.0895,-0.012,-7.7139999999999995
0.09,-0.012,-7.709
0.0905,-0.012,-7.709
0.091,-0.006999999999999999,-7.709
0.0915,-0.002,-7.7
0.092,-0.012,-7.705
0.0925,-0.006999999999999999,-7.7
0.093,-0.012,-7.69
0.0935,-0.012,-7.69
0.094,-0.012,-7.695
0.0945,-0.006999999999999999,-7.69
0.095,-0.012,-7.685
0.0955,-0.006999999999999999,-7.69
0.096,-0.006999999999999999,-7.675
0.0965,-0.012,-7.675
0.097,-0.006999999999999999,-7.68
0.0975,-0.006999999999999999,-7.665
0.098,-0.006999999999999999,-7.665
0.0985,-0.006999999999999999,-7.665
0.099,-0.002,-7.656000000000001
0.0995,-0.006999999999999999,-7.646
0.1,-0.017,-7.651
0.1005,-0.006999999999999999,-7.646
0.101,-0.006999999999999999,-7.641
0.1015,-0.012,-7.636
0.102,-0.002,-7.626
0.1025,-0.002,-7.626
0.103,-0.012,-7.626
0.1035,-0.006999999999999999,-7.621
0.104,-0.006999999999999999,-7.612
0.1045,-0.006999999999999999,-7.612
0.105,-0.006999999999999999,-7.607
0.1055,-0.002,-7.602
0.106,-0.006999999999999999,-7.597
0.1065,-0.006999999999999999,-7.597
0.107,-0.002,-7.587000000000001
0.1075,-0.006999999999999999,-7.582000000000001
0.108,-0.006999999999999999,-7.582000000000001
0.1085,-0.002,-7.568
0.109,-0.006999999999999999,-7.568
0.1095,-0.006999999999999999,-7.563
0.11,-0.002,-7.553
0.1105,-0.002,-7.542999999999999
0.111,-0.006999999999999999,-7.542999999999999
0.1115,-0.002,-7.537999999999999
0.112,-0.002,-7.529
0.1125,-0.006999999999999999,-7.524
0.113,-0.002,-7.519
0.1135,-0.002,-7.513999999999999
0.114,-0.012,-7.5089999999999995
0.1145,-0.006999999999999999,-7.504
0.115,-0.002,-7.495
0.1155,-0.002,-7.495
0.116,-0.002,-7.49
0.1165,-0.002,-7.48
0.117,-0.002,-7.475
0.1175,-0.006999999999999999,-7.47
0.118,-0.002,-7.455
0.1185,-0.002,-7.4510000000000005
0.119,-0.006999999999999999,-7.446000000000001
0.1195,0.002,-7.436
0.12,-0.002,-7.421
0.1205,-0.002,-7.426
0.121,0.002,-7.416
0.1215,-0.002,-7.402
0.122,-0.002,-7.402
0.1225,-0.002,-7.397
0.123,-0.002,-7.382000000000001
0.1235,-0.006999999999999999,-7.382000000000001
0.124,-0.002,-7.367999999999999
0.1245,0.002,-7.358
0.125,-0.006999999999999999,-7.358
0.1255,-0.002,-7.348
0.126,0.002,-7.337999999999999
0.1265,-0.002,-7.332999999999999
0.127,-0.006999999999999999,-7.332999999999999
0.1275,0.002,-7.319
0.128,-0.002,-7.303999999999999
0.1285,0.002,-7.2989999999999995
0.129,0.002,-7.289
0.1295,-0.002,-7.28
0.13,-0.006999999999999999,-7.275
0.1305,0.002,-7.26
0.131,0.002,-7.25
0.1315,0.002,-7.25
0.132,0.002,-7.236000000000001
0.1325,0.002,-7.221
0.133,-0.002,-7.221
0.1335,-0.002,-7.211
0.134,0.002,-7.197
0.1345,-0.002,-7.192
0.135,0.002,-7.182
0.1355,0.002,-7.172000000000001
0.136,-0.002,-7.167000000000001
0.1365,0.002,-7.1579999999999995
0.137,0.006999999999999999,-7.143
0.1375,0.002,-7.138
0.138,0.002,-7.132999999999999
0.1385,0.006999999999999999,-7.109
0.139,0.002,-7.104
0.1395,0.002,-7.093999999999999
0.14,0.006999999999999999,-7.084
0.1405,0.002,-7.07
0.141,-0.002,-7.065
0.1415,0.006999999999999999,-7.045
0.142,0.002,-7.035
0.1425,0.006999999999999999,-7.031000000000001
0.143,0.006999999999999999,-7.021
