"Laatste: Tijd (s)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)";"Meting 3: Tijd (ms)";"Meting 3: Potential 1 (V)";"Meting 3: Potential 2 (V)"
0,0000;-0,037;-6,650;0,000;5,629;-0,027;0,000000;7,475;7,705;0,000;-6,967;-7,055;0,0;-1,043;-2,557
0,0005;-0,042;-6,664;0,004;-7,817;-0,081;0,700000;7,480;7,700;0,001;-6,972;-7,050;0,2;-1,023;-2,752
0,0010;-0,042;-6,679;0,008;-7,792;-0,056;1,400000;7,475;7,705;0,002;-6,967;-7,055;0,4;-1,023;-2,952
0,0015;-0,042;-6,689;0,012;-4,037;0,012;2,100000;7,475;7,695;0,003;-6,972;-7,055;0,6;-1,023;-3,143
0,0020;-0,042;-6,698;0,016;8,442;0,071;2,800000;7,480;7,700;0,004;-6,967;-7,050;0,8;-1,009;-3,333
0,0025;-0,042;-6,718;0,020;7,353;-0,032;3,500000;7,475;7,700;0,005;-6,967;-7,055;1,0;-1,009;-3,519
0,0030;-0,042;-6,723;0,024;1,380;-0,066;4,200000;7,485;7,700;0,006;-6,972;-7,055;1,2;-0,994;-3,705
0,0035;-0,042;-6,737;0,028;-8,266;-0,051;4,900000;7,475;7,700;0,007;-6,967;-7,045;1,4;-0,984;-3,885
0,0040;-0,042;-6,752;0,032;-6,650;0,017;5,600000;7,485;7,700;0,008;-6,977;-7,050;1,6;-0,974;-4,061
0,0045;-0,037;-6,762;0,036;2,181;0,037;6,300000;7,480;7,705;0,009;-6,962;-7,050;1,8;-0,960;-4,242
0,0050;-0,042;-6,767;0,040;8,110;-0,037;7,000000;7,485;7,700;0,010;-6,972;-7,060;2,0;-0,955;-4,413
0,0055;-0,042;-6,791;0,044;5,531;-0,061;7,700000;7,490;7,705;0,011;-6,972;-7,050;2,2;-0,945;-4,593
0,0060;-0,042;-6,801;0,048;-8,208;-0,042;8,400000;7,485;7,700;0,012;-6,967;-7,055;2,4;-0,930;-4,755
0,0065;-0,042;-6,811;0,052;-7,778;0,017;9,100000;7,485;7,700;0,013;-6,972;-7,055;2,6;-0,916;-4,916
0,0070;-0,046;-6,825;0,056;-3,968;0,037;9,800000;7,485;7,700;0,014;-6,972;-7,050;2,8;-0,901;-5,077
0,0075;-0,037;-6,835;0,060;8,437;-0,032;10,500000;7,490;7,700;0,015;-6,967;-7,050;3,0;-0,886;-5,228
0,0080;-0,037;-6,845;0,064;7,319;-0,071;11,200000;7,490;7,705;0,016;-6,972;-7,050;3,2;-0,867;-5,380
0,0085;-0,042;-6,855;0,068;1,194;-0,017;11,900000;7,490;7,695;0,017;-6,967;-7,050;3,4;-0,847;-5,526
0,0090;-0,037;-6,869;0,072;-8,252;0,017;12,600000;7,495;7,700;0,018;-6,972;-7,055;3,6;-0,833;-5,673
0,0095;-0,037;-6,874;0,076;-6,611;0,042;13,300000;7,485;7,700;0,019;-6,967;-7,045;3,8;-0,818;-5,814
0,0100;-0,042;-6,884;0,080;2,454;-0,061;14,000000;7,499;7,700;0,020;-6,972;-7,055;4,0;-0,803;-5,956
0,0105;-0,037;-6,908;0,084;8,090;-0,076;14,700000;7,495;7,700;0,021;-6,972;-7,060;4,2;-0,789;-6,078
0,0110;-0,032;-6,908;0,088;5,458;-0,027;15,400000;7,495;7,700;0,022;-6,972;-7,050;4,4;-0,759;-6,205
0,0115;-0,042;-6,923;0,092;-8,457;0,037;16,100000;7,499;7,705;0,023;-6,977;-7,055;4,6;-0,740;-6,322
0,0120;-0,037;-6,938;0,096;-7,753;0,046;16,800000;7,490;7,700;0,024;-6,967;-7,045;4,8;-0,711;-6,440
0,0125;-0,032;-6,943;0,100;-3,827;-0,066;17,500000;7,499;7,705;0,025;-6,972;-7,050;5,0;-0,696;-6,557
0,0130;-0,037;-6,952;0,104;8,432;-0,066;18,200000;7,495;7,700;0,026;-6,972;-7,050;5,2;-0,672;-6,664
0,0135;-0,042;-6,972;0,108;7,289;-0,032;18,900000;7,499;7,700;0,027;-6,967;-7,050;5,4;-0,652;-6,762
0,0140;-0,037;-6,977;0,112;0,974;0,056;19,600000;7,499;7,705;0,028;-6,972;-7,055;5,6;-0,632;-6,864
0,0145;-0,037;-6,987;0,116;-8,242;0,046;20,300000;7,495;7,690;0,029;-6,967;-7,050;5,8;-0,598;-6,947
0,0150;-0,042;-7,006;0,120;-6,562;-0,071;21,000000;7,504;7,705;0,030;-6,972;-7,055;6,0;-0,579;-7,035
0,0155;-0,037;-7,011;0,124;2,772;-0,110;21,700000;7,499;7,695;0,031;-6,972;-7,055;6,2;-0,554;-7,109
0,0160;-0,042;-7,016;0,128;8,081;-0,027;22,400000;7,504;7,700;0,032;-6,967;-7,055;6,4;-0,525;-7,192
0,0165;-0,042;-7,035;0,132;5,360;0,056;23,100000;7,499;7,700;0,033;-6,977;-7,060;6,6;-0,501;-7,260
0,0170;-0,037;-7,045;0,136;-8,457;0,071;23,800000;7,504;7,700;0,034;-6,967;-7,050;6,8;-0,481;-7,324
0,0175;-0,032;-7,050;0,140;-7,734;-0,056;24,500000;7,504;7,700;0,035;-6,972;-7,060;7,0;-0,452;-7,387
0,0180;-0,037;-7,060;0,144;-3,719;-0,100;25,200000;7,509;7,690;0,036;-6,972;-7,050;7,2;-0,422;-7,431
0,0185;-0,037;-7,079;0,148;8,427;-0,027;25,900000;7,509;7,705;0,037;-6,967;-7,050;7,4;-0,393;-7,480
0,0190;-0,032;-7,079;0,152;7,250;0,051;26,600000;7,504;7,700;0,038;-6,977;-7,055;7,6;-0,369;-7,524
