"Laatste: Tijd (ms)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)";"Meting 3: Tijd (ms)";"Meting 3: Potential 1 (V)";"Meting 3: Potential 2 (V)";"Meting 4: Tijd (s)";"Meting 4: Potential 1 (V)";"Meting 4: Potential 2 (V)"
0,0000;0,466;3,714;0,000;5,629;-0,027;0,000000;7,475;7,705;0,000;-6,967;-7,055;0,0;-1,043;-2,557;0,0000;-0,076;7,709
0,2000;0,466;3,802;0,004;-7,817;-0,081;0,700000;7,480;7,700;0,001;-6,972;-7,050;0,2;-1,023;-2,752;0,0002;-0,085;7,685
0,4000;0,462;3,890;0,008;-7,792;-0,056;1,400000;7,475;7,705;0,002;-6,967;-7,055;0,4;-1,023;-2,952;0,0004;-0,095;7,661
0,6000;0,462;3,978;0,012;-4,037;0,012;2,100000;7,475;7,695;0,003;-6,972;-7,055;0,6;-1,023;-3,143;0,0006;-0,105;7,636
0,8000;0,452;4,066;0,016;8,442;0,071;2,800000;7,480;7,700;0,004;-6,967;-7,050;0,8;-1,009;-3,333;0,0008;-0,110;7,612
1,0000;0,452;4,159;0,020;7,353;-0,032;3,500000;7,475;7,700;0,005;-6,967;-7,055;1,0;-1,009;-3,519;0,0010;-0,110;7,582
1,2000;0,447;4,247;0,024;1,380;-0,066;4,200000;7,485;7,700;0,006;-6,972;-7,055;1,2;-0,994;-3,705;0,0012;-0,120;7,558
1,4000;0,442;4,339;0,028;-8,266;-0,051;4,900000;7,475;7,700;0,007;-6,967;-7,045;1,4;-0,984;-3,885;0,0014;-0,125;7,534
1,6000;0,447;4,427;0,032;-6,650;0,017;5,600000;7,485;7,700;0,008;-6,977;-7,050;1,6;-0,974;-4,061;0,0016;-0,125;7,504
1,8000;0,442;4,510;0,036;2,181;0,037;6,300000;7,480;7,705;0,009;-6,962;-7,050;1,8;-0,960;-4,242;0,0018;-0,139;7,465
2,0000;0,437;4,593;0,040;8,110;-0,037;7,000000;7,485;7,700;0,010;-6,972;-7,060;2,0;-0,955;-4,413;0,0020;-0,149;7,431
2,2000;0,432;4,676;0,044;5,531;-0,061;7,700000;7,490;7,705;0,011;-6,972;-7,050;2,2;-0,945;-4,593;0,0022;-0,154;7,392
