"Laatste: Tijd (ms)";"Laatste: Potential 1 (V)";"Laatste: Potential 2 (V)";"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Meting 1: Tijd (ms)";"Meting 1: Potential 1 (V)";"Meting 1: Potential 2 (V)";"Meting 2: Tijd (s)";"Meting 2: Potential 1 (V)";"Meting 2: Potential 2 (V)"
0,0;2,430;6,063;0,000;5,629;-0,027;0,000000;7,475;7,705;0,000;-6,967;-7,055
0,2;1,756;5,692;0,004;-7,817;-0,081;0,700000;7,480;7,700;0,001;-6,972;-7,050
0,4;1,038;5,170;0,008;-7,792;-0,056;1,400000;7,475;7,705;0,002;-6,967;-7,055
0,6;0,320;4,457;0,012;-4,037;0,012;2,100000;7,475;7,695;0,003;-6,972;-7,055
0,8;-0,437;3,597;0,016;8,442;0,071;2,800000;7,480;7,700;0,004;-6,967;-7,050
1,0;-1,179;2,625;0,020;7,353;-0,032;3,500000;7,475;7,700;0,005;-6,967;-7,055
1,2;-1,888;1,570;0,024;1,380;-0,066;4,200000;7,485;7,700;0,006;-6,972;-7,055
1,4;-2,513;0,486;0,028;-8,266;-0,051;4,900000;7,475;7,700;0,007;-6,967;-7,045
1,6;-3,074;-0,637;0,032;-6,650;0,017;5,600000;7,485;7,700;0,008;-6,977;-7,050
1,8;-3,534;-1,756;0,036;2,181;0,037;6,300000;7,480;7,705;0,009;-6,962;-7,050
2,0;-3,895;-2,796;0,040;8,110;-0,037;7,000000;7,485;7,700;0,010;-6,972;-7,060
2,2;-4,129;-3,763;0,044;5,531;-0,061;7,700000;7,490;7,705;0,011;-6,972;-7,050
2,4;-4,217;-4,598;0,048;-8,208;-0,042;8,400000;7,485;7,700;0,012;-6,967;-7,055
2,6;-4,164;-5,267;0,052;-7,778;0,017;9,100000;7,485;7,700;0,013;-6,972;-7,055
2,8;-3,963;-5,746;0,056;-3,968;0,037;9,800000;7,485;7,700;0,014;-6,972;-7,050
3,0;-3,631;-6,000;0,060;8,437;-0,032;10,500000;7,490;7,700;0,015;-6,967;-7,050
3,2;-3,114;-6,005;0,064;7,319;-0,071;11,200000;7,490;7,705;0,016;-6,972;-7,050
3,4;-2,488;-5,805;0,068;1,194;-0,017;11,900000;7,490;7,695;0,017;-6,967;-7,050
3,6;-1,790;-5,394;0,072;-8,252;0,017;12,600000;7,495;7,700;0,018;-6,972;-7,055
3,8;-1,028;-4,764;0,076;-6,611;0,042;13,300000;7,485;7,700;0,019;-6,967;-7,045
4,0;-0,212;-3,983;0,080;2,454;-0,061;14,000000;7,499;7,700;0,020;-6,972;-7,055
4,2;0,579;-3,045;0,084;8,090;-0,076;14,700000;7,495;7,700;0,021;-6,972;-7,060
4,4;1,355;-2,044;0,088;5,458;-0,027;15,400000;7,495;7,700;0,022;-6,972;-7,050
4,6;2,049;-0,930;0,092;-8,457;0,037;16,100000;7,499;7,705;0,023;-6,977;-7,055
4,8;2,698;0,198;0,096;-7,753;0,046;16,800000;7,490;7,700;0,024;-6,967;-7,045
5,0;3,241;1,326;0,100;-3,827;-0,066;17,500000;7,499;7,705;0,025;-6,972;-7,050
5,2;3,661;2,410;0,104;8,432;-0,066;18,200000;7,495;7,700;0,026;-6,972;-7,050
5,4;3,958;3,411;0,108;7,289;-0,032;18,900000;7,499;7,700;0,027;-6,967;-7,050
5,6;4,115;4,295;0,112;0,974;0,056;19,600000;7,499;7,705;0,028;-6,972;-7,055
5,8;4,134;5,043;0,116;-8,242;0,046;20,300000;7,495;7,690;0,029;-6,967;-7,050
6,0;4,012;5,634;0,120;-6,562;-0,071;21,000000;7,504;7,705;0,030;-6,972;-7,055
6,2;3,763;6,044;0,124;2,772;-0,110;21,700000;7,499;7,695;0,031;-6,972;-7,055
6,4;3,407;6,239;0,128;8,081;-0,027;22,400000;7,504;7,700;0,032;-6,967;-7,055
6,6;2,879;6,215;0,132;5,360;0,056;23,100000;7,499;7,700;0,033;-6,977;-7,060
6,8;2,278;6,000;0,136;-8,457;0,071;23,800000;7,504;7,700;0,034;-6,967;-7,050
7,0;1,609;5,590;0,140;-7,734;-0,056;24,500000;7,504;7,700;0,035;-6,972;-7,060
7,2;0,886;5,028;0,144;-3,719;-0,100;25,200000;7,509;7,690;0,036;-6,972;-7,050
7,4;0,149;4,276;0,148;8,427;-0,027;25,900000;7,509;7,705;0,037;-6,967;-7,050
7,6;-0,603;3,397;0,152;7,250;0,051;26,600000;7,504;7,700;0,038;-6,977;-7,055
7,8;-1,336;2,391;0,156;0,857;0,085;27,300000;7,509;7,700;0,039;-6,967;-7,050
8,0;-2,029;1,350;0,160;-8,232;-0,056;28,000000;7,509;7,705;0,040;-6,972;-7,050
8,2;-2,640;0,242;0,164;-6,498;-0,090;28,700000;7,514;7,705;0,041;-6,972;-7,050
8,4;-3,172;-0,877;0,168;2,996;-0,051;29,400000;7,509;7,705;0,042;-6,972;-7,055
8,6;-3,621;-1,980;0,172;8,066;0,046;30,100000;7,509;7,695;0,043;-6,977;-7,055
8,8;-3,958;-3,026;0,176;5,297;0,076;30,800000;7,514;7,705;0,044;-6,972;-7,045
9,0;-4,159;-3,963;0,180;-8,452;-0,046;31,500000;7,509;7,695;0,045;-6,972;-7,055
9,2;-4,222;-4,764;0,184;-7,700;-0,090;32,200000;7,514;7,700;0,046;-6,977;-7,050
9,4;-4,134;-5,389;0,188;-3,592;-0,051;32,900000;7,509;7,700;0,047;-6,967;-7,050
9,6;-3,900;-5,819;0,192;8,422;0,051;33,600000;7,514;7,695;0,048;-6,972;-7,055
9,8;-3,534;-6,020;0,196;7,231;0,081;34,300000;7,514;7,705;0,049;-6,972;-7,050
10,0;-2,982;-5,980;0,200;0,589;-0,027;35,000000;7,514;7,700;0,050;-6,972;-7,060
10,2;-2,342;-5,736;0,204;-8,227;-0,100;35,700000;7,524;7,700;0,051;-6,972;-7,050
