Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,-6.9670000000000005,-7.055
0.001,-6.972,-7.05
0.002,-6.9670000000000005,-7.055
0.003,-6.972,-7.055
0.004,-6.9670000000000005,-7.05
0.005,-6.9670000000000005,-7.055
0.006,-6.972,-7.055
0.006999999999999999,-6.9670000000000005,-7.045
0.008,-6.977,-7.05
0.009000000000000001,-6.962000000000001,-7.05
0.01,-6.972,-7.06
0.011000000000000001,-6.972,-7.05
0.012,-6.9670000000000005,-7.055
0.013000000000000001,-6.972,-7.055
0.013999999999999999,-6.972,-7.05
0.015,-6.9670000000000005,-7.05
0.016,-6.972,-7.05
0.017,-6.9670000000000005,-7.05
0.018000000000000002,-6.972,-7.055
0.019,-6.9670000000000005,-7.045
0.02,-6.972,-7.055
0.021,-6.972,-7.06
0.022000000000000002,-6.972,-7.05
0.023,-6.977,-7.055
0.024,-6.9670000000000005,-7.045
0.025,-6.972,-7.05
0.026000000000000002,-6.972,-7.05
0.027000000000000003,-6.9670000000000005,-7.05
0.027999999999999997,-6.972,-7.055
0.028999999999999998,-6.9670000000000005,-7.05
0.03,-6.972,-7.055
0.031,-6.972,-7.055
0.032,-6.9670000000000005,-7.055
0.033,-6.977,-7.06
0.034,-6.9670000000000005,-7.05
0.035,-6.972,-7.06
0.036000000000000004,-6.972,-7.05
0.037000000000000005,-6.9670000000000005,-7.05
0.038,-6.977,-7.055
0.039,-6.9670000000000005,-7.05
0.04,-6.972,-7.05
0.040999999999999995,-6.972,-7.05
0.042,-6.972,-7.055
0.043,-6.977,-7.055
0.044000000000000004,-6.972,-7.045
0.045,-6.972,-7.055
0.046,-6.977,-7.05
0.047,-6.9670000000000005,-7.05
0.048,-6.972,-7.055
0.049,-6.972,-7.05
0.05,-6.972,-7.06
0.051,-6.972,-7.05
0.052000000000000005,-6.9670000000000005,-7.055
0.053,-6.977,-7.06
0.054000000000000006,-6.972,-7.05
0.055,-6.977,-7.055
0.055999999999999994,-6.972,-7.05
0.057,-6.9670000000000005,-7.05
0.057999999999999996,-6.977,-7.05
0.059000000000000004,-6.972,-7.05
0.06,-6.977,-7.055
0.061,-6.977,-7.055
0.062,-6.972,-7.055
0.063,-6.977,-7.055
0.064,-6.9670000000000005,-7.045
0.065,-6.972,-7.055
0.066,-6.972,-7.05
0.067,-6.972,-7.05
0.068,-6.972,-7.055
0.069,-6.9670000000000005,-7.05
0.07,-6.972,-7.06
0.071,-6.977,-7.055
0.07200000000000001,-6.972,-7.055
0.073,-6.977,-7.055
0.07400000000000001,-6.972,-7.05
0.075,-6.972,-7.055
0.076,-6.972,-7.05
0.077,-6.972,-7.05
0.078,-6.977,-7.055
0.079,-6.972,-7.055
0.08,-6.977,-7.06
0.081,-6.977,-7.055
0.08199999999999999,-6.972,-7.055
0.083,-6.977,-7.055
0.084,-6.972,-7.055
0.085,-6.972,-7.055
0.086,-6.977,-7.05
0.087,-6.972,-7.055
0.08800000000000001,-6.982,-7.055
0.08900000000000001,-6.972,-7.05
0.09,-6.972,-7.06
0.091,-6.977,-7.055
0.092,-6.972,-7.055
0.09300000000000001,-6.982,-7.055
0.094,-6.972,-7.05
0.095,-6.977,-7.06
0.096,-6.977,-7.05
0.09699999999999999,-6.972,-7.05
0.098,-6.982,-7.055
0.099,-6.977,-7.05
0.1,-6.977,-7.06
0.10099999999999999,-6.977,-7.055
0.102,-6.972,-7.055
