Laatste: Tijd (ms),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,-3.5380000000000003,-5.805
0.2,-2.918,-5.541
0.4,-2.063,-5.0089999999999995
0.6,-1.1059999999999999,-4.188
0.8,-0.09,-3.167
1.0,0.9009999999999999,-2.005
1.2,1.824,-0.735
1.4,2.659,0.579
1.6,3.3819999999999997,1.868
1.8,3.895,3.05
2.0,4.232,4.11
2.2,4.364,4.96
2.4,4.281000000000001,5.6
2.6,4.007,5.985
2.8,3.509,6.034
3.0,2.835,5.824
3.2,2.0540000000000003,5.346
3.4,1.16,4.647
3.6,0.242,3.7239999999999998
3.8,-0.701,2.625
4.0,-1.629,1.4140000000000001
4.2,-2.464,0.129
4.4,-3.187,-1.17
4.6,-3.7880000000000003,-2.425
4.8,-4.208,-3.548
5.0,-4.427,-4.515
5.2,-4.427,-5.228
5.4,-4.203,-5.702000000000001
5.6,-3.7680000000000002,-5.819
5.8,-3.0839999999999996,-5.6339999999999995
6.0,-2.259,-5.15
6.2,-1.3359999999999999,-4.388
6.4,-0.32,-3.4210000000000003
6.6,0.691,-2.259
6.8,1.624,-1.0090000000000001
7.0,2.503,0.29100000000000004
7.2,3.236,1.59
7.4,3.7969999999999997,2.806
7.6,4.173,3.885
7.8,4.349,4.789
8.0,4.32,5.482
8.2,4.081,5.9270000000000005
8.4,3.641,6.0489999999999995
8.6,3.011,5.907
8.8,2.234,5.482
9.0,1.36,4.828
9.2,0.457,3.944
9.4,-0.505,2.884
9.6,-1.433,1.6780000000000002
9.8,-2.298,0.413
10.0,-3.035,-0.872
10.2,-3.665,-2.142
10.4,-4.129,-3.3139999999999996
10.6,-4.398,-4.315
10.8,-4.452,-5.101
11.0,-4.281000000000001,-5.629
11.2,-3.895,-5.819
11.4,-3.255,-5.697
11.6,-2.459,-5.277
11.8,-1.541,-4.584
12.0,-0.5539999999999999,-3.6460000000000004
12.2,0.452,-2.523
12.4,1.4240000000000002,-1.321
12.6,2.313,-0.006999999999999999
12.8,3.074,1.287
13.0,3.685,2.537
13.2,4.115,3.661
13.4,4.335,4.613
13.6,4.343999999999999,5.346
13.8,4.149,5.843999999999999
14.0,3.773,6.044
14.2,3.158,5.9510000000000005
14.4,2.425,5.6
14.6,1.565,4.994
14.8,0.667,4.168
15.0,-0.28600000000000003,3.138
15.2,-1.219,1.9609999999999999
15.4,-2.1069999999999998,0.706
15.6,-2.8789999999999996,-0.593
15.8,-3.543,-1.883
16.0,-4.042,-3.06
16.2,-4.359,-4.105
16.4,-4.452,-4.935
16.6,-4.33,-5.526
16.8,-3.9930000000000003,-5.805
17.0,-3.411,-5.746
17.2,-2.645,-5.399
17.4,-1.751,-4.763999999999999
17.6,-0.774,-3.88
17.8,0.237,-2.786
18.0,1.2329999999999999,-1.585
18.2,2.122,-0.3
18.4,2.923,1.0090000000000001
18.6,3.568,2.274
18.8,4.027,3.426
19.0,4.295,4.418
19.2,4.359,5.204
19.4,4.208,5.761
19.6,3.8710000000000004,6.034
19.8,3.3139999999999996,6.0
20.0,2.596,5.746
