Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.0,0.042,7.797000000000001
0.0002,0.042,7.8020000000000005
0.0004,0.042,7.807
0.0006,0.032,7.817
0.0008,0.032,7.822
0.001,0.037000000000000005,7.827000000000001
0.0012,0.032,7.841
0.0014,0.032,7.846
0.0016,0.032,7.856
0.0018,0.027000000000000003,7.856
0.002,0.027000000000000003,7.8660000000000005
0.0022,0.022000000000000002,7.871
0.0024,0.022000000000000002,7.871
0.0026,0.022000000000000002,7.88
0.0028,0.017,7.885
0.003,0.022000000000000002,7.89
0.0032,0.017,7.9
0.0034,0.017,7.9
0.0036,0.017,7.9
0.0038,0.002,7.895
0.004,0.002,7.89
0.0042,-0.002,7.895
0.0044,-0.002,7.895
0.0046,-0.002,7.895
0.0048,-0.006999999999999999,7.89
0.005,-0.012,7.88
0.0052,-0.017,7.875
0.0054,-0.022000000000000002,7.875
0.0056,-0.027000000000000003,7.875
0.0058,-0.022000000000000002,7.8660000000000005
0.006,-0.027000000000000003,7.861000000000001
0.0062,-0.027000000000000003,7.861000000000001
0.0064,-0.027000000000000003,7.856
0.0066,-0.027000000000000003,7.846
0.0068,-0.037000000000000005,7.836
0.007,-0.037000000000000005,7.827000000000001
0.0072,-0.037000000000000005,7.817
0.0074,-0.042,7.817
0.0076,-0.042,7.807
0.0078,-0.042,7.8020000000000005
0.008,-0.037000000000000005,7.792000000000001
0.0082,-0.042,7.7829999999999995
0.0084,-0.051,7.773
0.0086,-0.055999999999999994,7.757999999999999
0.0088,-0.055999999999999994,7.747999999999999
0.009,-0.055999999999999994,7.744
0.0092,-0.055999999999999994,7.734
0.0094,-0.055999999999999994,7.724
0.0096,-0.055999999999999994,7.7139999999999995
0.0098,-0.061,7.7
0.01,-0.066,7.685
0.0102,-0.066,7.67
0.0104,-0.071,7.6610000000000005
0.0106,-0.066,7.651
0.0108,-0.071,7.636
0.011,-0.071,7.621
0.0112,-0.071,7.612
0.0114,-0.076,7.5920000000000005
0.0116,-0.076,7.577999999999999
0.0118,-0.081,7.563
0.012,-0.085,7.542999999999999
0.0122,-0.085,7.534
0.0124,-0.085,7.519
0.0126,-0.085,7.499
0.0128,-0.085,7.49
0.013,-0.085,7.465
0.0132,-0.085,7.4510000000000005
0.0134,-0.095,7.426
0.0136,-0.1,7.4110000000000005
0.0138,-0.095,7.397
0.014,-0.095,7.382000000000001
0.0142,-0.095,7.367999999999999
0.0144,-0.095,7.348
0.0146,-0.1,7.319
0.0148,-0.105,7.2989999999999995
0.015,-0.11,7.275
0.0152,-0.11,7.25
0.0154,-0.11,7.236000000000001
0.0156,-0.11,7.211
0.0158,-0.11,7.197
0.016,-0.11,7.1770000000000005
0.0162,-0.115,7.148
0.0164,-0.12,7.122999999999999
0.0166,-0.125,7.099
0.0168,-0.125,7.074
0.017,-0.125,7.055
0.0172,-0.125,7.031000000000001
0.0174,-0.125,7.011
0.0176,-0.125,6.982
0.0178,-0.129,6.957000000000001
0.018,-0.134,6.928
0.0182,-0.139,6.899
0.0184,-0.139,6.869
0.0186,-0.134,6.85
0.0188,-0.139,6.821000000000001
0.019,-0.139,6.801
0.0192,-0.139,6.767
0.0194,-0.14400000000000002,6.742000000000001
0.0196,-0.14400000000000002,6.712999999999999
0.0198,-0.149,6.678999999999999
0.02,-0.154,6.65
0.0202,-0.154,6.625
0.0204,-0.149,6.596
0.0206,-0.154,6.567
0.0208,-0.154,6.542000000000001
0.021,-0.154,6.507999999999999
0.0212,-0.159,6.474
0.0214,-0.159,6.44
0.0216,-0.168,6.405
0.0218,-0.16399999999999998,6.381
0.022,-0.16399999999999998,6.352
0.0222,-0.16399999999999998,6.317
0.0224,-0.16399999999999998,6.287999999999999
0.0226,-0.168,6.254
0.0228,-0.17300000000000001,6.215
0.023,-0.17300000000000001,6.181
0.0232,-0.17800000000000002,6.151
0.0234,-0.17800000000000002,6.117000000000001
0.0236,-0.17800000000000002,6.082999999999999
0.0238,-0.17800000000000002,6.0489999999999995
0.024,-0.17300000000000001,6.015
0.0242,-0.17800000000000002,5.976
0.0244,-0.183,5.941
0.0246,-0.188,5.902
0.0248,-0.193,5.867999999999999
0.025,-0.193,5.829
0.0252,-0.188,5.795
0.0254,-0.188,5.756
0.0256,-0.188,5.722
0.0258,-0.193,5.678
0.026,-0.198,5.638999999999999
0.0262,-0.203,5.6
0.0264,-0.203,5.565
0.0266,-0.203,5.531000000000001
0.0268,-0.203,5.492000000000001
0.027,-0.198,5.457999999999999
0.0272,-0.203,5.414
0.0274,-0.20800000000000002,5.375
0.0276,-0.20800000000000002,5.331
0.0278,-0.212,5.287000000000001
0.028,-0.212,5.247999999999999
0.0282,-0.212,5.209
0.0284,-0.212,5.17
0.0286,-0.212,5.131
0.0288,-0.212,5.087
0.029,-0.217,5.043
0.0292,-0.217,4.999
0.0294,-0.222,4.96
0.0296,-0.22699999999999998,4.926
0.0298,-0.222,4.877
0.03,-0.222,4.833
0.0302,-0.222,4.7989999999999995
0.0304,-0.222,4.75
0.0306,-0.222,4.706
0.0308,-0.22699999999999998,4.657
0.031,-0.22699999999999998,4.613
0.0312,-0.22699999999999998,4.579
0.0314,-0.22699999999999998,4.53
0.0316,-0.22699999999999998,4.486000000000001
0.0318,-0.23199999999999998,4.447
0.032,-0.22699999999999998,4.398
0.0322,-0.23199999999999998,4.354
0.0324,-0.242,4.31
0.0326,-0.237,4.256
0.0328,-0.242,4.217
0.033,-0.237,4.168
0.0332,-0.237,4.125
0.0334,-0.237,4.0760000000000005
0.0336,-0.237,4.032
0.0338,-0.242,3.983
0.034,-0.247,3.9389999999999996
0.0342,-0.247,3.885
0.0344,-0.247,3.841
0.0346,-0.247,3.792
0.0348,-0.247,3.748
0.035,-0.252,3.705
0.0352,-0.252,3.6460000000000004
0.0354,-0.252,3.602
0.0356,-0.252,3.548
0.0358,-0.256,3.4989999999999997
0.036,-0.252,3.455
0.0362,-0.256,3.407
0.0364,-0.256,3.353
0.0366,-0.256,3.3139999999999996
0.0368,-0.256,3.255
0.037,-0.256,3.2110000000000003
0.0372,-0.261,3.158
0.0374,-0.266,3.1039999999999996
0.0376,-0.261,3.055
0.0378,-0.261,3.0060000000000002
0.038,-0.266,2.957
0.0382,-0.261,2.9130000000000003
