frequentie	OA	OB	abs(phi)	teken	phi
1000	0.0	3.8	0	-1	0
1050	0.0	3.8	0	1	0
1100	0.0	3.8	0	1	0
1150	0.2	3.8	0.052655908	1	0.052655908
1200	0.2	3.8	0.052655908	1	0.052655908
1250	0.2	3.8	0.052655908	1	0.052655908
1300	0.2	3.6	0.055584173	1	0.055584173
1350	0.2	3.6	0.055584173	1	0.055584173
1400	0.4	3.6	0.111341014	1	0.111341014
1500	0.4	3.6	0.111341014	1	0.111341014
1600	0.6	3.6	0.167448079	1	0.167448079
1700	0.6	3.6	0.167448079	1	0.167448079
1800	0.6	3.6	0.167448079	1	0.167448079
1900	0.8	3.6	0.224093092	1	0.224093092
2000	0.8	3.6	0.224093092	1	0.224093092
900	0.0	3.8	0	-1	0
800	0.2	3.8	0.052655908	-1	-0.052655908
700	0.4	3.8	0.105458525	-1	-0.105458525
600	0.6	3.8	0.158558281	-1	-0.158558281
500	0.8	3.8	0.21211331	-1	-0.21211331
400	1.0	3.8	0.266294017	-1	-0.266294017
350	1.2	3.8	0.321288589	-1	-0.321288589
300	1.4	3.8	0.377310032	-1	-0.377310032
250	1.8	4.0	0.466765339	-1	-0.466765339
200	2.4	4.0	0.643501109	-1	-0.643501109
